DATE,WEEKDAY,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2021-06-16,yes,10th & K St NW,37.0,43.0,6.0,23,0.3,1.6
2021-06-17,yes,10th & K St NW,43.0,38.0,-5.0,23,-0.2,1.9
2021-06-18,yes,10th & K St NW,37.0,35.0,-2.0,23,-0.1,1.6
2021-06-19,no,10th & K St NW,32.0,32.0,0.0,23,0.0,1.4
2021-06-20,no,10th & K St NW,37.0,27.0,-10.0,23,-0.4,1.6
2021-06-21,yes,10th & K St NW,34.0,36.0,2.0,23,0.1,1.5
2021-06-22,yes,10th & K St NW,31.0,31.0,0.0,23,0.0,1.3
2021-06-23,yes,10th & K St NW,39.0,36.0,-3.0,23,-0.1,1.7
2021-06-24,yes,10th & K St NW,29.0,35.0,6.0,23,0.3,1.3
2021-06-25,yes,10th & K St NW,46.0,42.0,-4.0,23,-0.2,2.0
2021-06-26,no,10th & K St NW,37.0,36.0,-1.0,23,-0.0,1.6
2021-06-27,no,10th & K St NW,30.0,33.0,3.0,23,0.1,1.3
2021-06-28,yes,10th & K St NW,23.0,35.0,12.0,23,0.5,1.0
2021-06-29,yes,10th & K St NW,30.0,23.0,-7.0,23,-0.3,1.3
2021-06-30,yes,10th & K St NW,23.0,20.0,-3.0,23,-0.1,1.0
2021-07-01,yes,10th & K St NW,17.0,17.0,0.0,23,0.0,0.7
2021-07-02,yes,10th & K St NW,28.0,29.0,1.0,23,0.0,1.2
2021-07-03,no,10th & K St NW,43.0,40.0,-3.0,23,-0.1,1.9
2021-07-04,no,10th & K St NW,60.0,62.0,2.0,23,0.1,2.6
2021-07-05,yes,10th & K St NW,36.0,38.0,2.0,23,0.1,1.6
2021-07-06,yes,10th & K St NW,39.0,25.0,-14.0,23,-0.6,1.7
2021-07-07,yes,10th & K St NW,28.0,22.0,-6.0,23,-0.3,1.2
2021-07-08,yes,10th & K St NW,30.0,29.0,-1.0,23,-0.0,1.3
2021-07-09,yes,10th & K St NW,24.0,36.0,12.0,23,0.5,1.0
2021-07-10,no,10th & K St NW,45.0,41.0,-4.0,23,-0.2,2.0
2021-07-11,no,10th & K St NW,34.0,31.0,-3.0,23,-0.1,1.5
2021-07-12,yes,10th & K St NW,45.0,42.0,-3.0,23,-0.1,2.0
2021-07-13,yes,10th & K St NW,40.0,41.0,1.0,23,0.0,1.7
2021-07-14,yes,10th & K St NW,33.0,35.0,2.0,23,0.1,1.4
2021-07-15,yes,10th & K St NW,44.0,38.0,-6.0,23,-0.3,1.9
2021-07-16,yes,10th & K St NW,48.0,39.0,-9.0,23,-0.4,2.1
2021-07-17,no,10th & K St NW,31.0,24.0,-7.0,23,-0.3,1.3
2021-07-18,no,10th & K St NW,35.0,34.0,-1.0,23,-0.0,1.5
2021-07-19,yes,10th & K St NW,42.0,46.0,4.0,23,0.2,1.8
2021-07-20,yes,10th & K St NW,35.0,36.0,1.0,23,0.0,1.5
2021-07-21,yes,10th & K St NW,40.0,30.0,-10.0,23,-0.4,1.7
2021-07-22,yes,10th & K St NW,31.0,30.0,-1.0,23,-0.0,1.3
2021-07-23,yes,10th & K St NW,28.0,28.0,0.0,23,0.0,1.2
2021-07-24,no,10th & K St NW,50.0,39.0,-11.0,23,-0.5,2.2
2021-07-25,no,10th & K St NW,27.0,21.0,-6.0,23,-0.3,1.2
2021-07-26,yes,10th & K St NW,30.0,30.0,0.0,23,0.0,1.3
2021-07-27,yes,10th & K St NW,35.0,38.0,3.0,23,0.1,1.5
2021-07-28,yes,10th & K St NW,43.0,33.0,-10.0,23,-0.4,1.9
2021-07-29,yes,10th & K St NW,44.0,36.0,-8.0,23,-0.3,1.9
2021-07-30,yes,10th & K St NW,32.0,35.0,3.0,23,0.1,1.4
2021-07-31,no,10th & K St NW,56.0,36.0,-20.0,23,-0.9,2.4
2021-08-01,no,10th & K St NW,23.0,26.0,3.0,23,0.1,1.0
2021-08-02,yes,10th & K St NW,32.0,30.0,-2.0,23,-0.1,1.4
2021-08-03,yes,10th & K St NW,46.0,46.0,0.0,23,0.0,2.0
2021-08-04,yes,10th & K St NW,33.0,24.0,-9.0,23,-0.4,1.4
2021-08-05,yes,10th & K St NW,25.0,27.0,2.0,23,0.1,1.1
2021-08-06,yes,10th & K St NW,42.0,42.0,0.0,23,0.0,1.8
2021-08-07,no,10th & K St NW,23.0,31.0,8.0,23,0.3,1.0
2021-08-08,no,10th & K St NW,38.0,30.0,-8.0,23,-0.3,1.7
2021-08-09,yes,10th & K St NW,35.0,34.0,-1.0,23,-0.0,1.5
2021-08-10,yes,10th & K St NW,29.0,24.0,-5.0,23,-0.2,1.3
2021-08-11,yes,10th & K St NW,30.0,30.0,0.0,23,0.0,1.3
2021-08-12,yes,10th & K St NW,25.0,24.0,-1.0,23,-0.0,1.1
2021-08-13,yes,10th & K St NW,22.0,25.0,3.0,23,0.1,1.0
2021-08-14,no,10th & K St NW,39.0,29.0,-10.0,23,-0.4,1.7
2021-08-15,no,10th & K St NW,39.0,39.0,0.0,23,0.0,1.7
2021-08-16,yes,10th & K St NW,47.0,35.0,-12.0,23,-0.5,2.0
2021-08-17,yes,10th & K St NW,32.0,29.0,-3.0,23,-0.1,1.4
2021-08-18,yes,10th & K St NW,38.0,35.0,-3.0,23,-0.1,1.7
2021-08-19,yes,10th & K St NW,34.0,40.0,6.0,23,0.3,1.5
2021-08-20,yes,10th & K St NW,25.0,26.0,1.0,23,0.0,1.1
2021-08-21,no,10th & K St NW,30.0,26.0,-4.0,23,-0.2,1.3
2021-08-22,no,10th & K St NW,20.0,20.0,0.0,23,0.0,0.9
2021-08-23,yes,10th & K St NW,35.0,35.0,0.0,23,0.0,1.5
2021-08-24,yes,10th & K St NW,40.0,44.0,4.0,23,0.2,1.7
2021-08-25,yes,10th & K St NW,28.0,30.0,2.0,23,0.1,1.2
